en,pt-BR
Divine Intervention,Intervenção Divina
Utilized in prayer to divine various types of miracles.,Utilizado em oração para divinar vários tipos de milagres.
Belief and Bestowment,Crença e Doação
"Your god bestows gifts at random, projecting their power through you. Each turn while in combat, you have a 33% chance to receive one charge of <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Divine Intervention</LSTag>.","Seu deus concede presentes ao acaso, projetando seu poder através de você. A cada turno durante o combate, você tem 33% de chance de receber uma carga de <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Intervenção Divina</LSTag>."
Divine Miracles,Milagres Divinos
"Utilize your charge of <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Divine Intervention</LSTag> to produce a Miracle of your choice. Your Miracles grow stronger as you gain levels as a Cleric.","Utilize sua carga de <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Intervenção Divina</LSTag> para produzir um Milagre de sua escolha. Seus Milagres se tornam mais poderosos à medida que você ganha níveis como Clérigo."
Divine Miracles: Arcane Bounty,Milagres Divinos: Riqueza Arcana
"You flow with limitless arcane energy. You recover a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> of the highest level available based on your levels in Cleric.","Você flui com energia arcana ilimitada. Você recupera um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag> do nível mais alto disponível com base em seus níveis como Clérigo."
Divine Miracles: Deific Wrath,Milagres Divinos: Ira Deífica
"The wrath of your god erupts from within you, bathing all nearby enemies in wanton radiance.","A ira do seu deus eclode de dentro de você, banhando todos os inimigos próximos em uma radiação desenfreada."
Divine Miracles: Holy Restoration,Milagres Divinos: Restauração Sagrada
"Feelings of soothing mercy flow from within, restoring the <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> of all nearby allies.","Sentimentos de misericórdia calmante fluem de dentro, restaurando os <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> de todos os aliados próximos."
Divine Miracles: Wreathed in Radiance,Milagres Divinos: Envolto em Radiação
"You and your allies become wreathed in a divine blessing, causing your <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> to gain a bonus equal to half your levels in Cleric for three turns.","Você e seus aliados ficam envoltos em uma bênção divina, fazendo com que suas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> ganhem um bônus igual à metade do seu nível em Clérigo por três turnos."
Wreathed in Radiance,Envolto em Radiação
"Affected creature is wreathed in a divine blessing, causing their <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> to gain a bonus equal to half the levels in Cleric of whomever applied this condition.","A criatura afetada está envolta em uma bênção divina, fazendo com que suas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> ganhem um bônus igual à metade dos níveis em Clérigo de quem aplicou essa condição."
Pacify Undead,Pacificar Morto-Vivo
"Pray for your god to pacify all nearby Undead, holding them still. Attacks made against them from within [1] will always be <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag>.","Ore ao seu deus para pacificar todos os Mortos-Vivos próximos, imobilizando-os. Ataques feitos contra eles de dentro de [1] serão sempre <LSTag Tooltip=""CriticalHit"">Acertos Críticos</LSTag>."
Pacified,Pacificado
"Affected creature is perfectly still, unable to act. Attacks made against them within [1] are always <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag>.","A criatura afetada está perfeitamente imóvel, incapaz de agir. Ataques feitos contra ela dentro de [1] são sempre <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag>."
"You gain the ability to channel divine energy, allowing you to dominate Undead foes and provide boons for your allies. Replenished by <LSTag Tooltip=""ShortRest"">Short</LSTag> or <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","Você ganha a habilidade de canalizar energia divina, permitindo que você domine inimigos Mortos-vivos e forneça bênçãos para seus aliados. Reabastecido por <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag> ou <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
Virtuous Touch,Toque Virtuoso
"When healing a creature, the target regains additional <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> equal to your levels in Cleric.","Ao curar uma criatura, o alvo recupera <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> adicionais iguais ao seu nível em Clérigo."
Preserve Life,Preservar Vida
"Evoke a healing radiance which restores your or an allies <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> by your level multiplied by four.","Evocar uma radiação curativa que restaura os <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> seus ou de um aliado pelo seu nível multiplicado por quatro."
Benevolent Grace,Graça Benevolente
"When healing a creature, you also apply <LSTag Type=""Status"" Tooltip=""SHIELD_OF_FAITH"">Shield of Faith</LSTag> for three turns.","Ao curar uma criatura, você também aplica <LSTag Type=""Status"" Tooltip=""SHIELD_OF_FAITH"">Shield of Faith</LSTag> por três turnos."
"When you or an ally recieves elemental damage, you can use your <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag> to halve the damage of the attack.","Quando você ou um aliado recebe dano elemental, você pode usar sua <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag> para reduzir pela metade o dano do ataque."
Dampen Elements,Amortecer Elementos
"When you or an ally recieves elemental damage, halve the attack's damage.","Quando você ou um aliado recebe dano elemental, reduza pela metade o dano do ataque."
Sanctity,Santidade
"When healing a creature, you also apply <LSTag Type=""Status"" Tooltip=""RESISTANCE"">Resistance</LSTag> for three turns.","Ao curar uma criatura, você também aplica <LSTag Type=""Status"" Tooltip=""RESISTANCE"">Resistência</LSTag> por três turnos."
Divine Presence,Presença Divina
"<LSTag Type=""Spell"" Tooltip=""Shout_PreserveLife"">Preserve Life</LSTag> is now able to target the corpses of fallen allies. Targeting a dead ally with Preserve Life will resurrect them with all of their <LSTag Tooltip=""HitPoints"">Hit Points</LSTag>.","<LSTag Type=""Spell"" Tooltip=""Shout_PreserveLife"">Preservar Vida</LSTag> agora pode mirar nos corpos de aliados caídos. Mirar em um aliado morto com Preservar Vida o ressuscitará com todos os seus <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag>."
Discharge,Descarga
"When dealing Cold, Lightning or Thunder damage to a creature that is <LSTag Type=""Status"" Tooltip=""WET"">Wet</LSTag>, roll your damage dice with <LSTag Tooltip=""Advantage"">Advantage</LSTag>.","Ao causar dano de Frio, Relâmpago ou Trovão a uma criatura que está <LSTag Type=""Status"" Tooltip=""WET"">Molhada</LSTag>, role seus dados de dano com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>."
"When dealing Cold, Lightning or Thunder damage, you may expend a <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Channel Divinity</LSTag> charge to deal the maximum damage possible.","Ao causar dano de Frio, Raio ou Trovão, você pode gastar uma carga de <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Canalizar Divindade</LSTag> para causar o dano máximo possível."
Destructive Wrath,Ira Destrutiva
"When dealing Cold, Lightning or Thunder damage, deal the maximum damage possible.","Ao causar dano de Frio, Raio ou Trovão, cause o dano máximo possível."
Downpour,Chuva Torrencial
"Once per combat encounter, you may cast <LSTag Type=""Spell"" Tooltip=""Target_CreateWater"">Create Water</LSTag> as a third level Spell without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Uma vez por encontro de combate, você pode lançar <LSTag Type=""Spell"" Tooltip=""Target_CreateWater"">Criar Água</LSTag> como um feitiço de terceiro nível sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
Wrath of the Storm,Ira da Tempestade
"As a <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag>, strike back at a creature who has damaged you within a range of [1], dealing [2] or [3].","Como uma <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag>, contra-ataque uma criatura que te feriu dentro de um raio de [1], causando [2] ou [3]."
Wrath of the Storm: Lightning,Ira da Tempestade: Relâmpago
"When an enemy damages you within a range of [1], retaliate with a strike of lightning that deals [2].","Quando um inimigo te causar dano dentro de um alcance de [1], retalie com um golpe de relâmpago que causa [2]."
Wrath of the Storm: Thunder,Ira da Tempestade: Trovão
"When an enemy damages you within a range of [1], retaliate with a crash of thunder that deals [2].","Quando um inimigo te causar dano dentro de um alcance de [1], retaliar com um estrondo de trovão que causa [2]."
Wrath of the Storm: Cold,Ira da Tempestade: Frio
"When an enemy damages you within a range of [1], retaliate with a frigid cold that deals [2].","Quando um inimigo te causar dano a uma distância de [1], retalie com um frio gélido que causa [2]."
Storm Strike,Golpe Tempestuoso
"When you deal Cold, Lightning or Thunder damage to a creature that is Large or smaller, you also push it away from where you stand by [1]. This effect can be toggled at any time.","Quando você causar dano de Frio, Relâmpago ou Trovão a uma criatura que seja Grande ou menor, você também a empurra para longe de onde você está por [1]. Esse efeito pode ser ativado a qualquer momento."
Static Shock,Choque Estático
"When you deal Cold, Lightning or Thunder damage, your target must succeed a Constitution based <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag> or become <LSTag Type=""Status"" Tooltip=""STUNNED"">Stunned</LSTag>.","Quando você causa dano de Frio, Relâmpago ou Trovão, seu alvo deve ter sucesso em um <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag> baseado em Constituição ou se tornar <LSTag Type=""Status"" Tooltip=""STUNNED"">Atordoado</LSTag>."
Radiant Strikes,Golpes Radiantes
"Deal an additional [1] on any successful <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Causa um adicional de [1] em qualquer <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> bem-sucedida."
"Bestow the glory of your god, using your <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag> and a <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Channel Divinity</LSTag> charge to grant either yourself or an ally within [1] a +[2] bonus to an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Conceda a glória do seu deus, usando sua <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag> e uma carga de <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Canalizar Divindade</LSTag> para conceder a si mesmo ou a um aliado dentro de [1] um bônus de +[2] em uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
War God's Blessing,Abençoar do Deus da Guerra
"Gain a +[1] bonus to your <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Ganhe um bônus de +[1] à sua <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
War God's Blessing: Ally,Benção do Deus da Guerra: Aliado
"Grant an ally within [1] a +[2] bonus to their <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Conceda a um aliado dentro de [1] um bônus de +[2] à sua <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
"After using one of your Miracles, gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on damage rolls for the rest of your turn.","Após usar um de seus Milagres, ganhe <LSTag Tooltip=""Advantage"">Vantagem</LSTag> nas rolagens de dano pelo resto do seu turno."
"Affected creature has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on damage rolls for the rest of their turn.","A criatura afetada tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> nas rolagens de dano pelo resto de seu turno."
"When you make an unarmed or weapon based attack against a target, you can make an additional attack as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","Quando você faz um ataque desarmado ou baseado em arma contra um alvo, pode fazer um ataque adicional como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>."
"Affected creature may make an additional attack as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","A criatura afetada pode fazer um ataque adicional como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>."
"Make an additional <LSTag Tooltip=""MeleeWeaponAttack"">Melee Weapon Attack</LSTag> as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","Faça um <LSTag Tooltip=""MeleeWeaponAttack"">Ataque Corpo a Corpo</LSTag> adicional como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>."
War Priest (Melee),Guerreiro Sacerdote (Corpo a Corpo)
"Make an additional <LSTag Tooltip=""RangedWeaponAttack"">Ranged Weapon Attack</LSTag> as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","Faça um <LSTag Tooltip=""RangedWeaponAttack"">Ataque à Distância</LSTag> adicional como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>."
War Priest,Guerreiro Sacerdote
"Make an additional <LSTag Tooltip=""MeleeWeaponAttack"">Melee Weapon Attack</LSTag> or <LSTag Tooltip=""RangedWeaponAttack"">Ranged Weapon Attacks</LSTag> as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","Faça um <LSTag Tooltip=""MeleeWeaponAttack"">Ataque Corpo a Corpo</LSTag> ou <LSTag Tooltip=""RangedWeaponAttack"">Ataque à Distância</LSTag> adicional como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>."
Deific,Deific
"After using one of your Miracles, gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> for the rest of your turn.","Após usar um dos seus Milagres, ganhe <LSTag Tooltip=""Advantage"">Vantagem</LSTag> nas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> pelo resto do seu turno."
Divine Faith,Fé Divina
"Affected creature has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and damage for the rest of their turn.","A criatura afetada tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> nas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> e dano pelo restante de seu turno."
"When you utilize your War God's Blessing in order to succeed an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>, the bonus to your Attack Rolls remains active for three turns.","Quando você utiliza a Benção do Deus da Guerra para ter sucesso em uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>, o bônus para suas Rolagens de Ataque permanece ativo por três turnos."
War God's Vessel,Vaso do Deus da Guerra
"Affected character has a +10 bonus to <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>.","O personagem afetado tem um bônus de +10 em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>."
Holy Divinations,Divinações Sagradas
Blessed be the Cleric who receives such gracious gifts from their god.<br>A veritable sign commanding prayers become power.,Bendito seja o Clérigo que recebe tais dádivas generosas de seu deus.<br>Um verdadeiro sinal que ordena que orações se tornem poder.
Aegis,Aegis
"Gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on all Constitution based <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Ganhe <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em todos os <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> baseados em Constituição."
Blessed Resolve,Resolução Abençoada
"Upon landing a killing blow or <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag> on a non-allied creature, emit an aura which <LSTag Type=""Status"" Tooltip=""BLESS"">Blesses</LSTag> all allies within [1] of you for three turns.","Ao desferir um golpe mortal ou um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag> em uma criatura não aliada, emita uma aura que <LSTag Type=""Status"" Tooltip=""BLESS"">Abençoa</LSTag> todos os aliados a até [1] de você por três turnos."
Consecrative Sacrifice,Sacrifício Consagrado
"Upon landing a killing blow or <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag> on a non-allied creature, emit a healing aura across [1] which restores +1d6 <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> multiplied by your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag> to yourself and all allies. This effect can trigger once per turn.","Ao desferir um golpe mortal ou um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag> em uma criatura não aliada, emita uma aura de cura em um raio de [1] que restaura +1d6 <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> multiplicados pelo seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag> para você e todos os aliados. Este efeito pode ser ativado uma vez por turno."
Divine Resiliance,Resiliência Divina
"Your maximum <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> increases by an amount equal to your Cleric level multiplied by two.","Seu <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> máximos aumentam em uma quantidade igual ao seu nível de Clérigo multiplicado por dois."
Divine Restoration,Restauração Divina
"At the end of any combat encounter, emit a healing aura across [1] which restores +1d6 <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> multiplied by your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag> to yourself and all allies.","No final de qualquer encontro de combate, emita uma aura de cura em [1] que restaura +1d6 <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> multiplicados pelo seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag> para você e todos os aliados."
Ethereal Intuition,Intuição Etérea
"Permanently gain the affects of <LSTag Type=""Status"" Tooltip=""GUIDANCE"">Guidance</LSTag> and <LSTag Type=""Status"" Tooltip=""RESISTANCE"">Resistance</LSTag>.","Ganhe permanentemente os efeitos de <LSTag Type=""Status"" Tooltip=""GUIDANCE"">Orientação</LSTag> e <LSTag Type=""Status"" Tooltip=""RESISTANCE"">Resistência</LSTag>."
"When an enemy makes an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against an ally within [1], you may use your <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag> in order to retaliate with <LSTag Type=""Spell"" Tooltip=""Target_SacredFlame"">Sacred Flame</LSTag>.","Quando um inimigo faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra um aliado dentro de [1], você pode usar sua <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag> para retaliar com <LSTag Type=""Spell"" Tooltip=""Target_SacredFlame"">Chama Sagrada</LSTag>."
Flames of Repentance,Chamas do Arrependimento
"When an enemy makes an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against an ally within [1], retaliate with <LSTag Type=""Spell"" Tooltip=""Target_SacredFlame"">Sacred Flame</LSTag>.","Quando um inimigo faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra um aliado dentro de [1], retalie com <LSTag Type=""Spell"" Tooltip=""Target_SacredFlame"">Chama Sagrada</LSTag>."
"Upon healing a creature with a Spell, you gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on your next <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Ao curar uma criatura com um feitiço, você ganha <LSTag Tooltip=""Advantage"">Vantagem</LSTag> na sua próxima <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
Guided Strikes,Golpes Guiados
"Affected creature has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on their next <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","A criatura afetada tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> na próxima <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
"While below half of your total <LSTag Tooltip=""HitPoints"">Hit Points</LSTag>, you regain the maximum amount of Hit Points possible when healed.","Enquanto estiver abaixo da metade de seus <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> totais, você recupera a quantidade máxima de Pontos de Vida possível quando curado."
Holy Fortitude,Fortitude Sagrada
"Affected creature will regain the maximum amount of <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> possible when healed.","A criatura afetada recuperará a quantidade máxima de <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> possível quando curada."
Holy Retribution,Retribuição Sagrada
"When an enemy damages you with a <LSTag Tooltip=""MeleeWeaponAttack"">Melee Weapon Attack</LSTag>, deal Radiant damage to them equal to your <LSTag Tooltip=""AbilityModifier"">Wisdom Modifier</LSTag>.","Quando um inimigo causar dano a você com um <LSTag Tooltip=""MeleeWeaponAttack"">Ataque com Arma Corpo a Corpo</LSTag>, cause dano Radiante a ele igual ao seu <LSTag Tooltip=""AbilityModifier"">Modificador de Sabedoria</LSTag>."
"When an enemy makes an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against you, you may use your <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag> and one of your <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Channel Divinity</LSTag> charges in order to receive <LSTag Type=""Status"" Tooltip=""BLADE_WARD_IMMACULATE"">Immaculate Blade Ward</LSTag> for one turn.","Quando um inimigo faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra você, você pode usar sua <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reação</LSTag> e uma das suas cargas de <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Canalizar Divindade</LSTag> para receber <LSTag Type=""Status"" Tooltip=""BLADE_WARD_IMMACULATE"">Proteção Imaculada da Lâmina</LSTag> por um turno."
Immaculate Ward,Proteção Imaculada
"When an enemy makes an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against you, receive <LSTag Type=""Status"" Tooltip=""BLADE_WARD_IMMACULATE"">Immaculate Blade Ward</LSTag> for one turn.","Quando um inimigo faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra você, receba <LSTag Type=""Status"" Tooltip=""BLADE_WARD_IMMACULATE"">Proteção Imaculada da Lâmina</LSTag> por um turno."
Immaculate Blade Ward,Guarda da Lâmina Imaculada
"Affected creature is <LSTag Tooltip=""Immune"">Immune</LSTag> to the next instance of Bludgeoning, Piercing, or Slashing damage that they would have suffered.","A criatura afetada é <LSTag Tooltip=""Immune"">Imune</LSTag> à próxima instância de dano de Contusão, Perfurante ou Cortante que ela sofreria."
Martyrdom,Martírio
"Once per combat, upon being <LSTag Tooltip=""Downed"">Downed</LSTag> or killed, erupt as a raging inferno, uncontrollably scorching everything around you.","Uma vez por combate, ao ser <LSTag Tooltip=""Downed"">derrubado</LSTag> ou morto, irrompa como um inferno furioso, queimando incontrolavelmente tudo ao seu redor."
Paradisiacal Gift,Presente Paradisíaco
"Once per turn, upon rolling a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>, immediately recover one of your <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Channel Divinity</LSTag> charges.","Uma vez por turno, ao rolar um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag>, recupere imediatamente uma das suas cargas de <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Canalizar Divindade</LSTag>."
Pious Insight,Visão Piosa
"Gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on all Wisdom based <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Ganhe <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em todos os <LSTag Tooltip=""Wisdom"">Testes de Sabedoria</LSTag> baseados em <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag> e <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Sacral Bulwark,Baluarte Sacral
"At the beginning of combat, gain <LSTag Tooltip=""TemporaryHitPoints"">Temporary Hit Points</LSTag> equal to your levels in Cleric multiplied by two.","No início do combate, ganhe <LSTag Tooltip=""TemporaryHitPoints"">Pontos de Vida Temporários</LSTag> iguais aos seus níveis em Clérigo multiplicados por dois."
Sanctified Presence,Presença Santificada
"At the beginning of each of your turns in combat, regain <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag> multiplied by two.","No início de cada um dos seus turnos em combate, recupere <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> iguais ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag> multiplicado por dois."
Sanctifying Aura,Aura Santificadora
"Emit an aura across [1] which provides <LSTag Type=""Status"" Tooltip=""SANCTUARY"">Sanctuary</LSTag> to allies who are <LSTag Tooltip=""Downed"">Downed</LSTag>.","Emita uma aura ao redor de [1] que fornece <LSTag Type=""Status"" Tooltip=""SANCTUARY"">Santuário</LSTag> a aliados que estão <LSTag Tooltip=""Downed"">Derrubados</LSTag>."
Stalwart,Firme
"Permanently gain the affects of <LSTag Type=""Spell"" Tooltip=""Target_ProtectionFromEvilAndGood"">Protection from Evil and Good</LSTag>.","Ganhe permanentemente os efeitos de <LSTag Type=""Spell"" Tooltip=""Target_ProtectionFromEvilAndGood"">Proteção contra o Mal e o Bem</LSTag>."
Stout Believer,Crente Robusto
"Gain status immunity to all forms of fear. Additionally, upon healing a creature with a Spell, they receive <LSTag Type=""Status"" Tooltip=""DEATH_WARD"">Death Ward</LSTag> for three turns.","Ganhe imunidade a todos os tipos de medo. Além disso, ao curar uma criatura com um Feitiço, ela recebe <LSTag Type=""Status"" Tooltip=""DEATH_WARD"">Proteção contra a Morte</LSTag> por três turnos."
Venerational Strikes,Golpes Veneracionais
"Upon landing a killing blow or <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>, receive <LSTag Type=""Status"" Tooltip=""VENERATION"">Veneration</LSTag> for three turns.","Ao desferir um golpe mortal ou um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag>, receba <LSTag Type=""Status"" Tooltip=""VENERATION"">Veneração</LSTag> por três turnos."
Veneration,Veneração
"Affected creatures weapon deals Radiant damage equal to their <LSTag Tooltip=""AbilityModifier"">Wisdom Modifier</LSTag>.","Criaturas afetadas causam dano Radiante igual ao seu <LSTag Tooltip=""AbilityModifier"">Modificador de Sabedoria</LSTag>."
